"Signal Name","Bit Length","Is Bus?","Signal Type","From File","Line Number","Comment"
"clk","1","false","input","V_Unit.v","4",""
"address","10","true","input","V_Unit.v","5",""
"din","32","true","input","V_Unit.v","6",""
"curve_select","2","true","input","V_Unit.v","7",""
"reset","1","false","input","V_Unit.v","8",""
"mode","1","false","input","V_Unit.v","9",""
"invalid","1","false","outputReg","V_Unit.v","10",""
"Vout","0","true","outputReg","V_Unit.v","11","FIXME: Either invalid signal or unable to determine bus length"
"","0","true","reg","V_Unit.v","20","FIXME: Either invalid signal or unable to determine bus length"
"","0","true","reg","V_Unit.v","21","FIXME: Either invalid signal or unable to determine bus length"
"","0","true","reg","V_Unit.v","22","FIXME: Either invalid signal or unable to determine bus length"
